M_sigma	S	Q_alpha	motif_intron_summary	motif_intron
0.9	0	Inf	0	0.0051951722525457565
0.9	0.05	Inf	0	0.009815483467821922
0.9	0.1	Inf	0	0.013473440318585151
0.9	0.2	Inf	0	0.006575041808900601
0.9	0.4	Inf	0	0.00806918767303975
0.9	0.8	Inf	0	0.005750153944381335
0.91	0	Inf	0	0.005720206990263431
0.91	0.05	Inf	0	0.005486945723522084
0.91	0.1	Inf	0	0.005816380289446224
0.91	0.2	Inf	0	0.0069680949185905
0.91	0.4	Inf	0	0.0067788101253368725
0.91	0.8	Inf	0	0.003648674593296656
0.92	0	Inf	0	0.008417840401468216
0.92	0.05	Inf	0	0.0023466774721869
0.92	0.1	Inf	0	0.004245183195629022
0.92	0.2	Inf	0	0.0035235884470307646
0.92	0.4	Inf	0	0.004302031127917916
0.92	0.8	Inf	0	0.003740514789686462
0.93	0	Inf	0	0.008048309020822578
0.93	0.05	Inf	0	0.008141938429844462
0.93	0.1	Inf	0	0.0033119044696571934
0.93	0.2	Inf	0	0.0032964671689385446
0.93	0.4	Inf	0	0.0033991278039638825
0.93	0.8	Inf	0	0.007080290966869331
0.94	0	Inf	0	0.008810242146779182
0.94	0.05	Inf	0	0.0037462178638724055
0.94	0.1	Inf	0	0.0029163982292385268
0.94	0.2	Inf	0	0.004446690610010941
0.94	0.4	Inf	0	0.005691429759116957
0.94	0.8	Inf	0	0.00567611584310141
0.95	0	Inf	0	0.010399914098250045
0.95	0.05	Inf	0	0.014900788822745174
0.95	0.1	Inf	0	0.008901382435352594
0.95	0.2	Inf	0	0.010622443491531653
0.95	0.4	Inf	0	0.002053344067867683
0.95	0.8	Inf	0	0.008884881348861574
0.96	0	Inf	0	0.0057050648286204675
0.96	0.05	Inf	0	0.0051192350717093145
0.96	0.1	Inf	0	0.0038916083527680634
0.96	0.2	Inf	0	0.004117276914056205
0.96	0.4	Inf	0	0.0027052953259400683
0.96	0.8	Inf	0	0.006141229595569761
0.97	0	Inf	0	0.008021769498481806
0.97	0.05	Inf	0	0.008450861674940902
0.97	0.1	Inf	0	8.491890643729844e-4
0.97	0.2	Inf	0	0.003421612488062874
0.97	0.4	Inf	0	0.0027384731529969952
0.97	0.8	Inf	0	0.004452321289613748
0.98	0	Inf	0	0.0033379283898888027
0.98	0.05	Inf	0	0.003942307265134656
0.98	0.1	Inf	0	0.0032298904824662558
0.98	0.2	Inf	0	0.003828871701787207
0.98	0.4	Inf	0	0.003561716900730489
0.98	0.8	Inf	0	0.0011798933370930046
0.99	0	Inf	0	0.005625473237743798
0.99	0.05	Inf	0	0.008239993153212808
0.99	0.1	Inf	0	0.00366593519706494
0.99	0.2	Inf	0	0.008781851705833935
0.99	0.4	Inf	0	0.00263566085227704
0.99	0.8	Inf	0	0.01000605871450978
1	0	Inf	0	0.0039114177470980825
1	0.05	Inf	0	0.0042133795461848644
1	0.1	Inf	0	0.0016655453978264266
1	0.2	Inf	0	0.005025517628703762
1	0.4	Inf	0	0.0043200434211247375
1	0.8	Inf	0	0.0028150520013377526
